price,first_name,last_name,above_100
111.0,Gertrude,Hale,True
67.0,Kaitlan,Smart,False
92.0,Adelle,Oconnell,False
139.0,Shay,Oneal,True
55.0,Finley,Oneill,False
65.0,Harri,Williamson,False
44.0,Eira,Hackett,False
49.0,Bentley,Larsen,False
44.0,Justine,Kouma,False
97.0,Aaron,Calderon,False
54.0,Kye,Werner,False
59.0,Riaan,Hood,False
173.0,Margie,Thatcher,True
4.0,Susanna,O'Ryan,False
148.0,Lilith,Petersen,True
176.0,Carina,Ayers,True
30.0,Gracie,Frye,False
29.0,Alayna,Weeks,False
142.0,Paige,Bowes,True
121.0,Sufyan,Field,True
77.0,Kirstie,Wharton,False
182.0,Diane,Greig,True
161.0,Sophia,Dunlap,True
180.0,Shiloh,Forster,True
131.0,Sidrah,Roberts,True
109.0,Safiyah,Burch,True
80.0,Jannat,Hewitt,False
73.0,Blaine,Nairn,False
131.0,Amir,Pemberton,True
4.0,Solomon,Mcgregor,False
102.0,Celia,Hodges,True
116.0,Scarlette,Foley,True
177.0,Raihan,Woodley,True
180.0,Fergus,Squires,True
18.0,Johnnie,Gill,False
136.0,Zaid,Lowery,True
41.0,Nabiha,Rudd,False
182.0,Angelina,Clemons,True
161.0,Ava-Mae,Davison,True
930.0,Cleveland,Brooks,True
44.0,Tymoteusz,Decker,False
59.0,Izabel,Cowan,False
57.0,Alima,Freeman,False
181.0,Anya,Lancaster,True
174.0,Elena,Beil,True
14.0,Aleksandra,Crosby,False
175.0,Jolie,Hickman,True
57.0,Bear,Case,False
45.0,Isabella,Vickers,False
22.0,Kaydon,Stephens,False
62.0,Annabella,Le,False
166.0,Kane,Hudson,True
45.0,Arman,Gibbs,False
,Grant,Mcdonnell,False
30.0,Ruby-May,Hooper,False
23.0,Samuel,Findlay,False
31.0,Maxime,Dunn,False
49.0,Shannen,Monroe,False
